YEAR,Citations ,ICR ( in %),Articles,SJR
1999,27606,43.5,6868,2.983
2000,28125,46.42,6545,2.689
2001,26592,44.27,6689,2.05
2002,33387,47.62,7046,2.191
2003,36668,47.53,7184,2.552
2004,38455,49,7295,3.504
2005,40595,51.22,7309,3.487
2006,45470,51.21,7600,4.077
2007,46060,54.05,7907,3.346
2008,41270,55.75,8300,3.431
2009,48782,55.12,8580,3.298
2010,51134,56.59,8938,2.941
2011,49732,57.49,8583,2.975
2012,50875,59.47,8137,3.363
2013,48304,59.41,8113,3.547
2014,50621,60.73,8555,3.762
2015,49154,60.99,8902,3.282
2016,46482,60.06,8836,2.863
352,,,,
